,chip,month,score
0,0003d2eb,0,0.986
1,000aa810,8,0.945
2,000d7e33,7,0.965
3,00184691,11,0.952
4,001b0634,8,0.917
5,001eb75a,8,0.665
6,0029317e,8,0.988
7,002fb84c,9,0.984
8,00301627,9,0.993
9,003a2b5b,11,0.983
10,003ab939,7,0.957
11,0040c3a8,9,0.954
12,004ef4ec,8,0.984
13,0058fedc,1,0.973
14,0060c0a5,8,0.961
15,00635116,0,0.9390000000000001
16,0080ae28,0,0.926
17,0083efdf,9,0.965
18,008a52a9,8,0.908
19,008be628,2,0.736
20,008d48bf,3,0.983
21,009957ba,5,0.955
22,0099b501,6,0.98
23,00a0d9d4,9,0.98
24,00a0fcf3,8,0.901
25,00b7c361,0,0.929
26,00c03fbe,10,0.985
27,00cb4c3e,0,0.962
28,00d97746,7,0.928
29,00da2ec1,9,0.957
30,00de40a4,11,0.952
31,00e1d23f,8,0.985
32,00e6b793,10,0.9359999999999999
33,00edfd51,10,0.959
34,00eee261,0,0.92
35,00efbedd,6,0.902
36,00f898a5,8,0.97
37,00fc19b1,6,0.976
38,00fd0698,8,0.925
39,00ff36dd,10,0.989
40,010966cb,10,0.959
41,011909e9,9,0.964
42,011bc55a,9,0.951
43,0131497d,8,0.943
44,0140e251,10,0.948
45,01417893,8,0.969
46,0147ad59,8,0.933
47,014e57fe,8,0.966
48,01503e8a,8,0.959
49,01567168,11,0.953
50,0157cf88,8,0.955
51,01583b0f,9,0.97
52,0177cc36,10,0.978
53,017f206b,7,0.905
54,01829c8b,1,0.92
55,018df98c,9,0.96
56,0193cab1,9,0.988
57,01a92708,8,0.9390000000000001
58,01ac99fb,1,0.961
59,01b0ad1c,9,0.913
60,01b7f786,4,0.9410000000000001
61,01bc24f4,9,0.9359999999999999
62,01ccc4cf,9,0.978
63,01ce06f5,8,0.952
64,01e1a71e,8,0.947
65,01ea0701,8,0.965
66,01edae7b,7,0.838
67,01f1fef8,9,0.984
68,01f32968,3,0.963
69,01f7f810,8,0.981
70,01fb0167,9,0.961
71,01fec683,7,0.921
72,020aefcc,8,0.961
73,020c0e93,0,0.94
74,0215bd3a,7,0.937
75,02168744,8,0.931
76,021a5ed3,10,0.911
77,0226c804,8,0.925
78,0226fb18,8,0.984
79,022b4d29,8,0.96
80,02374617,1,0.918
81,023bff29,11,0.968
82,023f5e10,8,0.9390000000000001
83,02400329,6,0.966
84,02546e15,2,0.926
85,025b36b1,8,0.957
86,02613007,10,0.902
87,026f95cb,8,0.956
88,02763d7a,8,0.964
89,027a4ff4,8,0.955
90,027d9c04,11,0.957
91,0287b450,8,0.955
92,0291ee27,7,0.946
93,02a1dc68,9,0.931
94,02a603ee,8,0.848
95,02a7f72f,8,0.923
96,02b4ce68,9,0.925
97,02c460be,8,0.913
98,02ceef52,8,0.968
99,02d8f406,2,0.667
100,02de88e0,9,0.991
101,02ea400e,8,0.959
102,02f46de1,8,0.962
103,02f855f0,10,0.959
104,02f894cc,8,0.92
105,02fd1e52,7,0.955
106,0300235a,9,0.989
107,030da7d1,8,0.947
108,031fd0f5,9,0.966
109,03224a52,8,0.987
110,032a9786,8,0.997
111,0331bda3,9,0.963
112,0332ebf4,8,0.913
113,03419529,11,0.957
114,034c753f,9,0.987
115,034d0cd4,8,0.915
116,035858c2,9,0.977
117,03660cb2,5,0.896
118,03696b34,7,0.924
119,036d94c9,9,0.943
120,0375894f,7,0.927
121,037a2db9,0,0.9410000000000001
122,0384b13c,10,0.937
123,03862457,7,0.971
124,038a4e2b,9,0.957
125,038d0773,10,0.967
126,03adea0f,3,0.946
127,03b184cc,2,0.911
128,03b570e4,7,0.978
129,03b81185,10,0.988
130,03bd1b00,10,0.935
131,03bf29fa,1,0.908
132,03cfd5cd,8,0.975
133,03e506af,9,0.9359999999999999
134,03f27ce1,0,0.918
135,03f9e229,1,0.904
136,04011347,7,0.914
137,040ad075,7,0.953
138,0410fc55,0,0.902
139,04203dc4,8,0.929
140,042c46f9,0,0.927
141,042dd93c,8,0.973
142,0436fc40,9,0.983
143,04392e0c,4,0.951
144,043d8d0c,8,0.902
145,04411212,0,0.948
146,04447492,9,0.973
147,044fe27e,11,0.967
148,04719c15,11,0.975
149,04850701,0,0.961
150,04869e3c,8,0.9410000000000001
151,048a3f5f,0,0.959
152,0493d777,8,0.98
153,04a6a767,8,0.959
154,04b380c7,9,0.904
155,04b6efc5,8,0.978
156,04b7d503,9,0.968
157,04ca83f0,10,0.971
158,04d55e6a,8,0.956
159,04dad591,10,0.954
160,04dbc732,8,0.938
161,04dd4f3b,7,0.973
162,04debe47,8,0.969
163,04e9d006,9,0.969
164,050649cc,9,0.92
165,051dc280,0,0.972
166,05232d1e,10,0.951
167,0529a3e8,8,0.967
168,052d6e62,9,0.947
169,0532076d,8,0.956
170,053aa3da,7,0.956
171,053facf0,10,0.954
172,05405d08,9,0.952
173,0546ac0a,0,0.954
